"Date","TotalKgActiveSubstanceSold","AverageAntibioticsRealPricePerKg","AvrakningsprisKrPerKg","RealAvrakningsprisKrPerKg","headCount","companyCount","ln_AverageAntibioticsRealPricePerKg","ln_TotalKgActiveSubstanceSold","ln_headCount","ln_RealAvrakningsprisKrPerKg","ln_companyCount"
2009-03-01,73.74,2342.59382344494,1469.66,2029.60888683846,1549042,1922,7.75901406600844,4.300545392806,14.2531472332987,7.6155983868912,7.56112158953024
2009-04-01,79.98,2218.20839156859,1489.37,2056.82850985303,1542201,1899,7.70445511821667,4.38177660341867,14.2487211748051,7.62892051712216,7.54908271081229
2009-05-01,71.025,2248.08517739521,1523.59,2104.08652606604,1535580,1876,7.71783410059612,4.26303192774025,14.2444187177989,7.65163669756811,7.53689712956617
2009-06-01,59.325,2407.4715790003,1532.83,2116.84701904699,1528739,1853,7.78633233841062,4.08303080232183,14.2399537705365,7.65768300543779,7.52456122628536
2009-07-01,70.995,2299.44434874979,1555.7,2148.43062018058,1528010,1840,7.74042278523019,4.26260945202632,14.2394767931898,7.67249291048074,7.51752085060303
2009-08-01,54.66,2181.33503649194,1585.69,2189.84698213933,1527257,1827,7.68769237040204,4.00113218049992,14.238983873903,7.69158694920019,7.51043055637801
2009-09-01,67.185,2164.59781119888,1607.06,2219.35907467212,1526505,1813,7.67998985468012,4.20745000832737,14.2384913666185,7.70497372808034,7.50273821075485
2009-10-01,55.305,2209.30096478668,1607.06,2219.35907467212,1525776,1800,7.70043143895026,4.01286332035422,14.2380136910612,7.70497372808034,7.49554194388426
2009-11-01,69.57,2395.54676660394,1549.1,2139.31598233705,1525023,1787,7.78136677882263,4.24233343993555,14.2375200498771,7.66824142249999,7.48829351515943
2009-12-01,80.85,2226.85098312284,1452.83,2006.36656033744,1524294,1774,7.70834375128834,4.39259558602312,14.2370419100092,7.60408068380123,7.48099216286952
2010-01-01,54.675,2285.44209204331,1402.86,1876.21052752513,1523541,1760,7.7343147603444,4.00140656656283,14.2365477887622,7.53700934476508,7.4730690880322
2010-02-01,67.725,2231.98882467771,1414.33,1891.55071453646,1522789,1747,7.71064831662384,4.21545538797116,14.2360540799288,7.54515225552251,7.46565531013406
