"Date","companyCount"
2012-10-01,1169
2012-11-01,1183
2012-12-01,1197
2013-01-01,1211
2013-02-01,1226
2013-03-01,1239
2013-04-01,1253
2013-05-01,1267
2013-06-01,1281
2013-07-01,1281
2013-08-01,1281
2013-09-01,1281
2013-10-01,1281
2013-11-01,1281
2013-12-01,1282
2014-01-01,1282
2014-02-01,1282
2014-03-01,1282
2014-04-01,1282
2014-05-01,1282
2014-06-01,1282
2014-07-01,1278
2014-08-01,1273
2014-09-01,1268
2014-10-01,1264
2014-11-01,1259
2014-12-01,1255
2015-01-01,1250
2015-02-01,1246
2015-03-01,1242
2015-04-01,1237
2015-05-01,1233
2015-06-01,1228
2015-07-01,1230
2015-08-01,1232
2015-09-01,1234
2015-10-01,1236
2015-11-01,1238
2015-12-01,1240
2016-01-01,1242
2016-02-01,1244
2016-03-01,1246
2016-04-01,1248
2016-05-01,1250
2016-06-01,1252
2016-07-01,1254
2016-08-01,1255
2016-09-01,1257
2016-10-01,1259
2016-11-01,1260
2016-12-01,1262
2017-01-01,1264
2017-02-01,1265
2017-03-01,1267
2017-04-01,1269
2017-05-01,1270
2017-06-01,1272
2017-07-01,1278
2017-08-01,1284
2017-09-01,1291
2017-10-01,1297
2017-11-01,1303
2017-12-01,1309
2018-01-01,1315
2018-02-01,1322
2018-03-01,1327
2018-04-01,1334
2018-05-01,1340
2018-06-01,1346
2018-07-01,1325
2018-08-01,1303
2018-09-01,1281
2018-10-01,1260
2018-11-01,1238
2018-12-01,1217
2019-01-01,1195
2019-02-01,1173
2019-03-01,1154
2019-04-01,1132
2019-05-01,1111
2019-06-01,1089
2019-07-01,1094
2019-08-01,1098
2019-09-01,1103
2019-10-01,1108
2019-11-01,1113
2019-12-01,1118
2020-01-01,1122
2020-02-01,1127
2020-03-01,1132
2020-04-01,1136
2020-05-01,1141
2020-06-01,1146
2020-07-01,1150
2020-08-01,1153
2020-09-01,1157
2020-10-01,1161
2020-11-01,1164
2020-12-01,1168
2021-01-01,1172
2021-02-01,1176
2021-03-01,1179
2021-04-01,1183
2021-05-01,1186
2021-06-01,1190
2021-07-01,1189
2021-08-01,1187
2021-09-01,1186
2021-10-01,1184
2021-11-01,1183
2021-12-01,1181
2022-01-01,1180
2022-02-01,1179
2022-03-01,1177
2022-04-01,1176
2022-05-01,1174
2022-06-01,1173
2022-07-01,1172
2022-08-01,1171
2022-09-01,1170
2022-10-01,1169
2022-11-01,1168
2022-12-01,1166
2023-01-01,1165
2023-02-01,1164
2023-03-01,1163
2023-04-01,1162
2023-05-01,1161
2023-06-01,1160
2023-07-01,1161
2023-08-01,1163
2023-09-01,1164
2023-10-01,1166
2023-11-01,1167
2023-12-01,1168
2024-01-01,1170
2024-02-01,1171
2024-03-01,1173
2024-04-01,1174
2024-05-01,1176
2024-06-01,1177
2024-07-01,1177
2024-08-01,1177
2024-09-01,1177
2024-10-01,1177
2024-11-01,1177
2024-12-01,1177
